metric,n_neighbors,weights,mean_test_score,std_test_score,rank_test_score
manhattan,11,distance,0.9357,0.0477,1
manhattan,11,uniform,0.9291,0.0585,2
manhattan,3,uniform,0.9281,0.0443,3
manhattan,3,distance,0.9281,0.0443,3
manhattan,9,distance,0.9240,0.0577,5
manhattan,15,uniform,0.9234,0.0453,6
manhattan,15,distance,0.9234,0.0453,6
manhattan,5,uniform,0.9219,0.0383,8
minkowski,9,distance,0.9181,0.0446,9
euclidean,9,distance,0.9181,0.0446,9
euclidean,11,distance,0.9180,0.0523,11
minkowski,11,distance,0.9180,0.0523,11
minkowski,9,uniform,0.9176,0.0598,13
euclidean,9,uniform,0.9176,0.0598,13
manhattan,9,uniform,0.9174,0.0658,15
euclidean,5,uniform,0.9170,0.0384,16
minkowski,5,uniform,0.9170,0.0384,16
manhattan,7,distance,0.9169,0.0471,18
manhattan,7,uniform,0.9169,0.0471,18
minkowski,3,distance,0.9166,0.0465,20
minkowski,3,uniform,0.9166,0.0465,20
euclidean,3,uniform,0.9166,0.0465,20
euclidean,3,distance,0.9166,0.0465,20
manhattan,5,distance,0.9158,0.0292,24
euclidean,15,distance,0.9119,0.0455,25
minkowski,15,distance,0.9119,0.0455,25
euclidean,7,distance,0.9119,0.0455,27
minkowski,7,uniform,0.9119,0.0455,27
minkowski,7,distance,0.9119,0.0455,27
euclidean,7,uniform,0.9119,0.0455,27
euclidean,11,uniform,0.9114,0.0604,31
minkowski,11,uniform,0.9114,0.0604,31
minkowski,5,distance,0.9109,0.0392,33
euclidean,5,distance,0.9109,0.0392,33
euclidean,15,uniform,0.9054,0.0539,35
minkowski,15,uniform,0.9054,0.0539,35
