activation,hidden_layer_sizes,learning_rate_init,solver,mean_test_score,std_test_score,rank_test_score
logistic,"(10,)",0.0010,lbfgs,0.9821,0.0274,1
logistic,"(10,)",0.0100,lbfgs,0.9821,0.0274,1
logistic,"(10,)",0.1000,lbfgs,0.9821,0.0274,1
tanh,"(20,)",0.0010,lbfgs,0.9766,0.0380,4
tanh,"(20,)",0.1000,lbfgs,0.9766,0.0380,4
tanh,"(20,)",0.0100,lbfgs,0.9766,0.0380,4
logistic,"(20,)",0.1000,lbfgs,0.9760,0.0294,7
logistic,"(20,)",0.0010,lbfgs,0.9760,0.0294,7
logistic,"(20,)",0.0100,lbfgs,0.9760,0.0294,7
logistic,"(32, 16)",0.1000,lbfgs,0.9703,0.0388,10
logistic,"(32, 16)",0.0010,lbfgs,0.9703,0.0388,10
logistic,"(32, 16)",0.0100,lbfgs,0.9703,0.0388,10
relu,"(20,)",0.0010,lbfgs,0.9701,0.0406,13
relu,"(20,)",0.0100,lbfgs,0.9701,0.0406,13
relu,"(20,)",0.1000,lbfgs,0.9701,0.0406,13
tanh,"(10,)",0.0010,lbfgs,0.9697,0.0303,16
tanh,"(10, 10)",0.0010,lbfgs,0.9697,0.0303,16
tanh,"(10, 10)",0.0100,lbfgs,0.9697,0.0303,16
tanh,"(10,)",0.1000,lbfgs,0.9697,0.0303,16
tanh,"(10,)",0.0100,lbfgs,0.9697,0.0303,16
tanh,"(10, 10)",0.1000,lbfgs,0.9697,0.0303,16
tanh,"(32, 16)",0.0100,lbfgs,0.9696,0.0409,22
tanh,"(32, 16)",0.1000,lbfgs,0.9696,0.0409,22
tanh,"(32, 16)",0.0010,lbfgs,0.9696,0.0409,22
tanh,"(20, 10)",0.0100,lbfgs,0.9639,0.0486,25
tanh,"(20, 10)",0.0010,lbfgs,0.9639,0.0486,25
tanh,"(20, 10)",0.1000,lbfgs,0.9639,0.0486,25
relu,"(10,)",0.1000,lbfgs,0.9635,0.0299,28
relu,"(10,)",0.0010,lbfgs,0.9635,0.0299,28
relu,"(10,)",0.0100,lbfgs,0.9635,0.0299,28
relu,"(20, 10)",0.1000,lbfgs,0.9580,0.0372,31
relu,"(20, 10)",0.0100,lbfgs,0.9580,0.0372,31
relu,"(20, 10)",0.0010,lbfgs,0.9580,0.0372,31
logistic,"(10, 10)",0.0100,lbfgs,0.9578,0.0476,34
logistic,"(10, 10)",0.1000,lbfgs,0.9578,0.0476,34
logistic,"(10, 10)",0.0010,lbfgs,0.9578,0.0476,34
relu,"(10, 10)",0.1000,lbfgs,0.9576,0.0278,37
relu,"(10, 10)",0.0100,lbfgs,0.9576,0.0278,37
relu,"(10, 10)",0.0010,lbfgs,0.9576,0.0278,37
logistic,"(20, 10)",0.1000,lbfgs,0.9573,0.0563,40
logistic,"(20, 10)",0.0010,lbfgs,0.9573,0.0563,40
logistic,"(20, 10)",0.0100,lbfgs,0.9573,0.0563,40
relu,"(32, 16)",0.0100,lbfgs,0.9516,0.0456,43
relu,"(32, 16)",0.1000,lbfgs,0.9516,0.0456,43
relu,"(32, 16)",0.0010,lbfgs,0.9516,0.0456,43
tanh,"(32, 16)",0.1000,adam,0.9294,0.0496,46
relu,"(32, 16)",0.1000,adam,0.9170,0.0455,47
relu,"(32, 16)",0.0100,adam,0.9164,0.0800,48
tanh,"(32, 16)",0.0100,adam,0.9163,0.0663,49
logistic,"(10,)",0.1000,adam,0.9105,0.0468,50
relu,"(10,)",0.1000,adam,0.9082,0.0684,51
relu,"(20, 10)",0.1000,adam,0.9045,0.0526,52
tanh,"(10, 10)",0.1000,adam,0.9006,0.0849,53
tanh,"(20, 10)",0.1000,adam,0.8938,0.0566,54
logistic,"(32, 16)",0.1000,adam,0.8934,0.0863,55
tanh,"(10,)",0.1000,adam,0.8934,0.0556,56
relu,"(10, 10)",0.0100,adam,0.8908,0.0709,57
relu,"(20,)",0.1000,adam,0.8845,0.0678,58
logistic,"(20, 10)",0.1000,adam,0.8844,0.0853,59
relu,"(20, 10)",0.0100,adam,0.8819,0.0736,60
tanh,"(32, 16)",0.0010,adam,0.8807,0.0509,61
tanh,"(20,)",0.1000,adam,0.8799,0.0537,62
relu,"(32, 16)",0.0010,adam,0.8785,0.0787,63
tanh,"(20, 10)",0.0100,adam,0.8779,0.0564,64
tanh,"(20,)",0.0100,adam,0.8772,0.0734,65
logistic,"(10, 10)",0.1000,adam,0.8759,0.0688,66
relu,"(10, 10)",0.1000,adam,0.8728,0.0938,67
logistic,"(10,)",0.0100,adam,0.8663,0.0725,68
logistic,"(20,)",0.0100,adam,0.8662,0.0461,69
tanh,"(10, 10)",0.0100,adam,0.8651,0.0820,70
logistic,"(20,)",0.1000,adam,0.8648,0.1158,71
logistic,"(32, 16)",0.0100,adam,0.8610,0.0564,72
tanh,"(10,)",0.0100,adam,0.8591,0.0778,73
logistic,"(20, 10)",0.0100,adam,0.8574,0.0439,74
tanh,"(10, 10)",0.0010,adam,0.8521,0.0898,75
tanh,"(20, 10)",0.0010,adam,0.8518,0.1343,76
relu,"(10,)",0.0100,adam,0.8507,0.0970,77
relu,"(20,)",0.0100,adam,0.8502,0.0810,78
logistic,"(10, 10)",0.0100,adam,0.8071,0.0808,79
logistic,"(20,)",0.0010,adam,0.7822,0.1409,80
relu,"(20, 10)",0.0010,adam,0.7201,0.2124,81
relu,"(10, 10)",0.0010,adam,0.7200,0.1263,82
tanh,"(20,)",0.0010,adam,0.6920,0.2638,83
relu,"(20,)",0.0010,adam,0.5766,0.2741,84
logistic,"(10,)",0.0010,adam,0.2414,0.1171,85
relu,"(10,)",0.0010,adam,0.1969,0.1289,86
tanh,"(10,)",0.0010,adam,0.1743,0.0394,87
logistic,"(20, 10)",0.0010,adam,0.1664,0.0095,88
logistic,"(10, 10)",0.0010,adam,0.1664,0.0095,88
logistic,"(32, 16)",0.0010,adam,0.1664,0.0095,88
